City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Mount Darwin,ZW,2022-04-06 23:14:59,-16.7725,31.5838,67.44,94,99,2.21
216,Kuminskiy,RU,2022-04-06 23:15:00,58.6667,66.5667,26.01,93,53,6.51
217,New Norfolk,AU,2022-04-06 23:15:00,-42.7826,147.0587,60.93,65,0,2.06
218,Hazorasp,UZ,2022-04-06 23:15:00,41.3194,61.0742,53.44,43,74,6.58
219,Vitim,RU,2022-04-06 23:15:01,59.4511,112.5578,21.61,96,100,3.13
220,Atambua,ID,2022-04-06 23:15:01,-9.1061,124.8925,75.25,79,40,2.68
221,Conceicao Do Araguaia,BR,2022-04-06 23:15:01,-8.2578,-49.2647,75.15,91,100,3.78
222,Sibolga,ID,2022-04-06 23:15:02,1.7427,98.7792,75.96,86,100,3.02
223,Vuktyl,RU,2022-04-06 23:15:02,63.8567,57.3094,7.09,97,64,5.08
224,Preobrazheniye,RU,2022-04-06 23:15:03,42.9019,133.9064,36.63,71,100,3.51
225,Sidi Ali,DZ,2022-04-06 23:15:03,36.0998,0.4206,51.8,86,15,8.25
226,Port Charlotte,US,2022-04-06 23:10:41,26.9762,-82.0906,84.24,77,0,13.0
227,Havre-Saint-Pierre,CA,2022-04-06 23:16:04,50.2334,-63.5986,32.36,86,75,8.05
228,Bandarbeyla,SO,2022-04-06 23:16:05,9.4942,50.8122,78.17,76,6,6.67
229,Chuy,UY,2022-04-06 23:16:05,-33.6971,-53.4616,61.92,80,0,8.08
230,Sarkand,KZ,2022-04-06 23:16:05,45.41,79.9186,61.25,24,99,9.4
231,Haverfordwest,GB,2022-04-06 23:16:06,51.8017,-4.9691,49.59,79,100,17.0
232,Iralaya,HN,2022-04-06 23:16:06,15.0,-83.2333,81.36,73,92,10.33
233,Mangrol,IN,2022-04-06 23:16:07,21.1167,70.1167,78.62,72,42,12.19
234,Touros,BR,2022-04-06 23:13:50,-5.1989,-35.4608,80.06,77,36,11.05
235,Ixtapa,MX,2022-04-06 23:13:58,20.7,-105.2,76.23,65,75,13.8
236,Maniitsoq,GL,2022-04-06 23:16:07,65.4167,-52.9,23.77,89,100,15.1
237,Warri,NG,2022-04-06 23:16:07,5.5167,5.75,79.45,86,83,4.12
238,Kjollefjord,NO,2022-04-06 23:16:08,70.9457,27.3465,33.85,85,95,21.97
239,Chunhuhub,MX,2022-04-06 23:16:08,19.55,-88.6833,95.5,33,0,7.96
240,La Ronge,CA,2022-04-06 23:16:09,55.1001,-105.2842,43.05,33,20,3.44
241,Sarankhola,BD,2022-04-06 23:16:09,22.3082,89.7897,73.96,98,15,2.33
242,Takhatgarh,IN,2022-04-06 23:16:10,25.3333,73.0,77.95,26,9,4.65
243,San Felipe,VE,2022-04-06 23:16:12,10.3399,-68.7425,73.13,94,89,4.92
244,Fort Nelson,CA,2022-04-06 23:15:39,58.8053,-122.7002,45.99,19,40,3.44
245,Leningradskiy,RU,2022-04-06 23:16:12,69.3833,178.4167,-1.68,95,100,19.57
246,Carutapera,BR,2022-04-06 23:16:13,-1.195,-46.02,75.18,94,99,2.8
247,Markova,UA,2022-04-06 23:16:13,48.6758,24.4138,43.47,87,91,5.86
