City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
640,Venice,US,74.05,haze,27.0998,-82.4543,A Beach Retreat On Casey Key
650,Seoul,KR,67.6,broken clouds,37.5683,126.9778,롯데호텔 서울
651,Cabedelo,BR,77.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
655,San Felipe,VE,71.83,scattered clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
658,Issia,CI,73.69,overcast clouds,6.4922,-6.5856,Résidence Hôtel Ange Anaé
659,Coahuayana,MX,78.1,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
660,Santiago De Cuba,CU,78.91,scattered clouds,20.0247,-75.8219,Cubanacan San Felix
661,Kollam,IN,78.03,overcast clouds,8.8833,76.6,The Raviz Ashtamudi
663,Elat,IL,66.04,clear sky,29.5581,34.9482,Club Hotel Eilat
666,Tignere,CM,71.94,light rain,7.3667,12.65,SADECK
677,Qui Nhon,VN,77.45,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
678,Guhagar,IN,77.34,overcast clouds,17.4842,73.1929,Hotel Seawinds
679,Laranja Da Terra,BR,69.67,clear sky,-19.8989,-41.0567,Hotel Aconchego
